point_id_测试点编号,frame_id_帧编号,timestamp_时间戳,found_是否检测到,cx_中心x,cy_中心y,area_面积,circularity_圆度,Xc_m_相机X,Yc_m_相机Y,Zc_m_相机Z,Xr_m_P1参考X,Yr_m_P1参考Y,Zr_m_P1参考Z,camera_ref_x_m_相机相对P1_X,camera_ref_y_m_相机相对P1_Y,camera_ref_z_m_相机相对P1_Z,tracking_ok_跟踪是否正常,tracking_state_跟踪状态,imu_acc_x_IMU加速度X,imu_acc_y_IMU加速度Y,imu_acc_z_IMU加速度Z,imu_gyro_x_IMU角速度X,imu_gyro_y_IMU角速度Y,imu_gyro_z_IMU角速度Z,valid_3d_points_有效3D点数量
1,0,1777990966.1879659,True,681,153,1186.0,0.8272278925879366,0.006738809868693352,-0.09947235137224197,0.3348158001899719,0.00804480314787662,-0.031551303835042815,0.3422060775589542,0.010228986631678413,0.06636163373370359,0.006870325957684778,True,OK,0.41347962617874146,-0.2454521507024765,-9.748665809631348,0.30404430627822876,0.28973063826560974,-0.22918277978897095,307
1,1,1777990966.323569,True,681,152,1181.0,0.8340034388889541,0.01038490142673254,-0.0977754220366478,0.33140334486961365,0.012770104478702506,-0.027910907674909585,0.33941839134070123,0.01121479182705738,0.06853794082006373,0.007467706826562938,True,OK,0.18050536513328552,-0.2837293744087219,-9.63354778289795,-0.11611201614141464,-0.5395435690879822,0.037050001323223114,657
1,2,1777990966.398784,True,681,153,1180.5,0.8410204814225598,0.012908034026622772,-0.10160160064697266,0.3418869972229004,0.015185450839485491,-0.031786531805361555,0.35026800627351484,0.011439106416324457,0.06878518248258532,0.007853759117825352,True,OK,0.4449564516544342,-0.23206345736980438,-9.61948299407959,-0.043341271579265594,-0.004931076429784298,-0.06744492053985596,1032
1,3,1777990966.4686387,True,681,152,1183.0,0.8354158101036404,0.006910204887390137,-0.1032896563410759,0.3413276672363281,0.009149953215699617,-0.03285768263558757,0.3498428580309504,0.011616948607426292,0.06890027038114237,0.007994480250363322,True,OK,0.34473487734794617,-0.2398902028799057,-9.628774642944336,0.487093448638916,0.7428114414215088,0.49485233426094055,263
1,4,1777990966.5532124,True,681,153,1183.0,0.8502856724921484,0.012121157720685005,-0.1014692485332489,0.33764004707336426,0.014692744979183076,-0.03144606353811083,0.3462801503320714,0.011743179188223304,0.06894744024221133,0.008114249167493759,True,OK,0.4111119210720062,-0.21456018090248108,-9.753385543823242,0.25613299012184143,-0.2707034945487976,0.2741105854511261,938
1,5,1777990966.6310236,True,681,153,1178.0,0.8423143480332849,0.012503178790211678,-0.09964524954557419,0.3346310555934906,0.015338191927844762,-0.029696208002977894,0.3433701058860605,0.011846128875000868,0.06899174562895392,0.008240366966861956,True,OK,0.4352171719074249,-0.3015698492527008,-9.659377098083496,0.05065116286277771,0.3550107479095459,0.26077285408973694,1090
1,6,1777990966.7015436,True,681,153,1190.5,0.8090429820389099,0.011671354994177818,-0.10056153684854507,0.33641818165779114,0.014503950717689347,-0.030490294724623748,0.34526848435592206,0.011965173682274519,0.06902652619460882,0.008347138733579685,True,OK,0.418264240026474,-0.09776699542999268,-9.74397087097168,-0.07394560426473618,-0.36703163385391235,-0.5492929816246033,940
1,7,1777990966.7700858,True,681,153,1177.0,0.8415993073592403,0.011232538148760796,-0.09949076175689697,0.33401864767074585,0.014160598229217617,-0.02923107134369775,0.3429725312714704,0.012094445006301706,0.0690186123605494,0.0084044974683293,True,OK,0.3210204541683197,-0.13024921715259552,-9.602935791015625,-0.3146984577178955,0.29186946153640747,-0.22621752321720123,946
1,8,1777990966.8417025,True,681,153,1183.5,0.8582325049112517,0.007779269944876432,-0.10129108279943466,0.3373253047466278,0.01082015543872537,-0.030774411986843733,0.34638214678610896,0.012179515766443988,0.06906435126939563,0.008537307830521826,True,OK,0.4683321416378021,-0.19050955772399902,-9.762845993041992,0.023907342925667763,0.11131171137094498,-0.3156020939350128,418
1,9,1777990966.90596,True,681,153,1186.5,0.820400222606024,0.008804844692349434,-0.09942622482776642,0.3347301781177521,0.011972424360150788,-0.029031260137197354,0.34382376625691524,0.012270973230477385,0.06908760534940875,0.008592516638844427,True,OK,0.38779327273368835,-0.19416247308254242,-9.60534954071045,0.17138008773326874,-0.034525252878665924,0.024100858718156815,600
