point_id_测试点编号,frame_id_帧编号,timestamp_时间戳,found_是否检测到,cx_中心x,cy_中心y,area_面积,circularity_圆度,Xc_m_相机X,Yc_m_相机Y,Zc_m_相机Z,valid_3d_points_有效3D点数量
1,0,1777996082.3777146,True,668,132,1359.0,0.8002550356168348,0.004628312774002552,-0.06437128037214279,0.2108667492866516,151
1,1,1777996082.4156706,True,668,132,1359.0,0.8132470421320085,0.0018765160348266363,-0.06658244132995605,0.2112230509519577,532
1,2,1777996082.4578967,True,668,132,1354.0,0.7935781868077112,0.001207207445986569,-0.06684097647666931,0.21167674660682678,413
1,3,1777996082.5229256,True,668,133,1362.0,0.8150422948294856,0.0020300201140344143,-0.06680145859718323,0.2113599181175232,623
1,4,1777996082.5899546,True,668,132,1358.5,0.7935833888837608,0.002863627625629306,-0.06678639352321625,0.211170494556427,735
1,5,1777996082.656086,True,668,132,1365.5,0.8237833609059195,0.0014751391718164086,-0.06605413556098938,0.21106374263763428,324
1,6,1777996082.7221248,True,668,132,1359.0,0.8002550356168348,0.0005973904626443982,-0.06719323247671127,0.21121488511562347,407
1,7,1777996082.7887282,True,668,133,1356.5,0.8278299846942626,0.0017466237768530846,-0.0665283054113388,0.2113833725452423,516
1,8,1777996082.8635418,True,668,132,1366.0,0.7953309250076022,0.0038503389805555344,-0.06450218707323074,0.21066206693649292,205
1,9,1777996082.9215772,True,668,132,1364.0,0.8162391223643152,0.0038262605667114258,-0.06472267955541611,0.21082912385463715,233
1,10,1777996083.0099301,True,668,133,1357.5,0.8189570944194696,0.0026571014896035194,-0.0673719272017479,0.21161283552646637,850
1,11,1777996083.0763683,True,668,133,1356.5,0.8183538111086633,0.002524167997762561,-0.06516904383897781,0.21069654822349548,325
1,12,1777996083.1429694,True,668,132,1357.0,0.7990773240118063,0.00200771470554173,-0.06730622053146362,0.21183577179908752,669
1,13,1777996083.2081096,True,668,132,1359.0,0.8361685459517998,0.0040071140974760056,-0.0646214634180069,0.2109261304140091,175
1,14,1777996083.2754076,True,668,133,1358.5,0.8064150046993726,0.0013557671336457133,-0.06723679602146149,0.2115321010351181,575
1,15,1777996083.342365,True,668,133,1364.5,0.8138107564064885,0.0015103109180927277,-0.06687857210636139,0.21135610342025757,548
1,16,1777996083.3867152,True,668,132,1358.0,0.8126486290281834,0.001276893075555563,-0.06664169579744339,0.21110300719738007,438
1,17,1777996083.4527376,True,668,132,1366.5,0.8204804934062692,0.0022354712709784508,-0.06567166745662689,0.21078339219093323,366
1,18,1777996083.5203304,True,668,133,1359.5,0.7941675490862714,0.0013791313394904137,-0.066370889544487,0.21145007014274597,211
1,19,1777996083.5866957,True,668,133,1362.0,0.8150422921475594,0.0017421666998416185,-0.06673817336559296,0.21152837574481964,571
1,20,1777996083.6568255,True,668,132,1366.5,0.798256679533939,0.001444885041564703,-0.06643243134021759,0.21170160174369812,378
1,21,1777996083.7200155,True,668,132,1365.0,0.8168375394870915,0.0009640193311497569,-0.06717702001333237,0.2120330035686493,421
1,22,1777996083.787706,True,668,133,1349.0,0.7943664788881568,0.0029023156967014074,-0.06532329320907593,0.2114696204662323,330
1,23,1777996083.8564262,True,668,133,1360.0,0.7970947827295429,0.0017352342838421464,-0.06623198837041855,0.21141253411769867,443
